volume_cargo;weight;place_loading;place_unloading;fk_id_type_cargo;fk_id_flight
85;7107;VmiQikOEjIahDktdjvkmHfOcbzTDa;Fyzfzgh;3;41
96;5469;pRPPwftdjSLLrHcpfd;lnWHKqDlyJqVaVgz;2;42
48;9001;DHAse;RlxcjUpBwBYtngQZlPnj IHvECCU;4;43
74;4536;BUaOcVxeD;EIXZLqOskEOrtNdOHj;6;44
95;7476;XjQtwNbWTIK;AqoZQt GqUdgcNFxClzoE;3;45
53;8759;ipgUVCudRDxAhhaGRXWTpeZNwyaE;vTO GmLlMIdoaoBPmJHo EAZizHvEv;2;46
76;8320;fQWHDZHUW;PYIzupGTuWpMBCOHjCQifRmo;3;47
95;5234;OyxCjTyDqtgIhkg ;WYRtzPi DsOGNktDggaHDzAnyyPb;3;48
47;5954;kjzIKGbs;svFtglzbVyjr;5;49
71;6804;djgv;mEtmDnilhi mkym;1;50
105;5795;XoGxLN;QELoGjFKEGGsE;6;51
100;6575;Mjw;VasKuGA;2;52
88;8676;sGQEnUsVJLfMC;apSwExuewviAwKRZOoQXX;6;53
51;5269;DeyDnXwKDDHfQZIZMBtBk;rLhtXGgYFOBlzxShUy ;6;54
77;3823;JiTxWLk;UTlgOfdSoWLqMVjnQoyfkINRN;3;55
94;6534;  BMqPZNnIYqnnecqKmELpBwWTd;FIRRzbDvCuWaytvtzUudZWbT;5;56
61;3954;myIiThiubDYXvOhHF h;z CtkcLERBQUVKhEYLLDx YhLraPAf;3;57
82;7313;iHXHosVWiNQqMBWBz Qts;RQrhRNiCNlNWyyVOyikTvxy;4;58
73;8014;JhLCDOSisCGNhokbNDcsXRNBpU;tuzr;5;59
84;8786;avpxQePvtuTqCAyliT;XcBQsiC;3;60
45;9630;peVWfNPugqLXytIs;YrX  VafxeQbEG KRNjyQhsextcs;6;61
64;8073;zBj;VlPnSjYWPEMsdgAlmHdrFm;2;62
83;6280;Cx uFPzQrklQVhmv;YhEjhpnKYa lSpSvgWNDEqztG;6;63
44;3621;WDHdPHXdPRUCuyrADOIKxGvTHkCVLX;fDXxWuxMFOGZOOs;1;64
90;4129;HwFuj FuNlD;AiiVBWDp uM;5;65
67;4520;hEsHczBsa ;llBJbXhEtAv;2;66
52;7841;rAFhSI; ZqzcTZypEUIKfeq;1;67
108;6818;hQBxdqIx WEsNMjynjFAA;veUhgqClBqD;4;68
53;6665;ZyuFKDDe NpKZgNHsbpN;aoIyaYGMqurlNrOit;6;69
61;7934;Qqe;bDbgMZnYfbeWAG;3;70
61;8619;tHpyMQgqoQZpPxYmZT;HvILkvhpCzVTZcOwQFvv m;6;71
105;8555;YCcJxfrTVkyJHvs;VTUjgkZODlDgMwbrSqiU;3;72
45;8298;ujqMrmbnDqzGClfEvEmergOkr;vBqjCxHporaWt FAU;4;73
78;9218;jjqKuiUPTKy;QopUeGZrvWvW;3;74
96;3851;uYqktziKmeEVHY;iJVZUiY;4;75
53;3601;VKcKqwU;KXiyovWAdIcIiXGcUwYDpUTg;5;76
47;8448;eLLmRyBSOusJIwHqHx;tNywg;1;77
50;3899;nedFyhzQhTswECPY oWVsTNIHVkGl;tAzCn;3;78
109;8166;TRrCzDXCRIiqdTOChfCaCtCP;Zjlh;5;79
91;8254;xPYk;aFABNzgnYQXJlZ;1;80
108;8248;CfjQIJxIuRhgzuBSPOa;tQkSIBSPPeBD;5;81
65;9490;CGdnDKuASBUlvYJglX;noiUqcslIw;2;82
92;9471;PPPzjdoT;NAjTbVO;2;83
50;6979;ZNqLcxfBY;FdKRpAYSkytuNtsDJahvjfWEpQBKKQ;2;84
48;8649;JKKidGGUgzxh J;RoSxCdXJ;2;85
95;8382;wGcBFrvZHONsL;MpprgNuKORNpDIykS;5;86
67;9419;KqrleuawwfI Ym;ABlcqHPyISfTFJg;3;87
68;5543;Pwysh;ghpsgLAjMfnAqrASjQ;1;88
53;8506;BNAjFGhB;EtBl;2;89
67;7325;PWyQNojhlR GpBNTpEAO Wp;bysrxzRCiZJDCQDOl;2;90
93;6913;DNcqPaxcZydAdoHsKjlJn;ywInBxCPuLN;3;91
96;8147;TulSgWyGpBbemb;jCVZlNknljljcUZaD;3;92
85;8522;xIZPrsRcWspoKQPYuR;OuFWNzyfNPDgEDHuGqXpTiZ;2;93
97;7737;vFwzJrYkFm;WxXTeRpKXUGIZtIka VZjN i;6;94
71;6544;VHEzOqIeUvQTIGEkrnHnqBbnc; ciHpe;1;95
94;9886;ZGTcTdY;ENJWMoH;5;96
53;8065;PxqYURMOPprVJkaTsrrLftfrjNwFF;AjmHrBBDM USu XfaeO;4;97
79;3521;hMnhjBeC;F bxVfrm sznoRMsBHKwWTMzzQqyAD;4;98
70;8949;gozhoPrTH;ZdmrRjuhftWCGirtNjJNH;4;99
57;8897;mpkJcdtsANMEIwCSQATQWA;xHtQiNavqWKSiTMzTzRj;3;100
70;9254;nvYJ;GohDQQgWfYzfVoQNKgLFB;2;101
106;4856;OJvtytzBZvZ ;ApSiQHwoWyioju;6;102
46;9400;xZfSdjl;JBt;1;103
99;5657;NUzvNTyozb;SSfjjfBQGy Y;2;104
79;4723;MWIThmMbNfcNVzQroZrqGxDfi;NpbuGUNjeiOMNFGOPoVbjHie;2;105
65;6101;BNoGIaDWZvhTZzBPDufLNoEwnmBPj;pOCsIWjgxJ;3;106
95;7830;lUc mwazRJbbHwazkUeKgHTsQAJjoD;bReuDUjQPCThArfMqE;5;107
50;7942;LYya;FQj TwgTfI;4;108
103;3711;AztKpMqaTYT;XHYU;4;109
57;6321;MIuGoNUSKsi;Zfz  tJDTJWMjQoTmnrLqNLEKbqZXa;4;110
90;9734;AVIdhUNCiaiOUpsO pqQwqp;lSAe;5;111
84;6403;FUu;dkSrTeIRDCToELVvQYrFMqAcLv;4;112
72;7648;WEPZosrqezEyAJzhwiLUCoN;doE;1;113
52;5269;UpxTmn;vLragzojqCL SVvZNhFKqDEhxJvHy;1;114
102;7218;diYIZlwnCbTwJKvrAwcVIC;UOcSieffTbaMUVTiGyeFBiuSJBV;4;115
93;9384;Ifgb bBXWffQrQ;qWabXjqOL;6;116
52;8273;TIdqaVZAeovkq g;hcso;3;117
67;9072;gWuUkbywRb;hyjEPpEc;2;118
68;3910;NHkFLdonML qmZlpRNmkDhRCFKjb;vqJHlqXMcyaRouCd;4;119
45;9611;IKoGRfjpCgYmOYmaDI;BpBqEHHUeDwQKPBaP;1;120
51;6083;CeVEeUfrdYfRJJvVFOVBWjCyM;ADyDL ;4;121
83;5762;GbgaS uKlDwTbhKaRtRIvITEh;FtApei TxzuzMBzllRtetY;3;122
67;4273;QuiooqlPnMMsuRzVRUOgZG;iTbcPHpQFTuiXysj;1;123
98;6334;dZQNM;UfsRaUSZWS;4;124
91;6589;GnIlYHJSVoQdfBEy;WtrIWKrtNGaZSrD;1;125
74;8644;VZBa;wdYMPxFUZMXkEuuoYmpzLDSzjxp;3;126
59;9654;wQjQlWOhCpu;gsZHbhNmtSwrkC ;2;127
73;4369;HRpnILoLpsAivCBvFlRrShOfHCh;yGNfybKCacBUKYI HrjPmEDlwpd;5;128
74;3686;ycTEHYfMhFUgNHyVqjUTHjsD;NDlcntiNpAUJDOrHnXLSjhdEtNeMVE;2;129
106;9727;ILiIiquSIffSMfvWJsYKveyEKlJYb;SfkBmpFGAtU;4;130
45;5303;DatAffwyVBSNbUbdUQzWHbU;qurYmYGTTzjEriCWa XcKbfV;3;131
64;7909;DDxuCTAeObN;oUXAVYCjQnGIdMbfGE;4;132
63;7448;yBCIDmlUN;GDHILg;2;133
98;5310;HxmVFcjDNkyk;XWgHITs;3;134
76;7678;OrF;FxijXGKRiLpOSxJwqmXNHNLBYV;2;135
91;7042;yZuPwRf;nVEOSviqjl;3;136
57;8452;nLGlPCclMdajdE UA kDoPdDWUHEG;tkJPomdoQML;2;137
73;9015;jnodBwdBU liSXzPqCMyFPsMNL;MNPQOsNtCOfrgrRvdwmLZbqoLO Y;4;138
66;7106;RncjZCqMjjHJdcDWAtPuiReHksLzf; TQnJMwkhmd nsJ;6;139
62;9685;ZcNsPbzdYKPcMO;dcifJeCXUC;3;140
44;6450;FMrLm;CUXAQdAxkoisTMAOmh;3;141
49;4224;JgxzQIoImzqQkEbrteBPjzfUGry Dx;OeURbnspAxDNUvhyWNcBiuKpjC;1;142
104;4167;TCYAigUqm ;xNCyaumnXAOHOQ;6;143
104;9687;YfogAHPM;aXaN MhTlehMB;5;144
54;8299;FDfYgkYsChvrZaLaossPwOXkT;lmbVUW c zdbXmyqCQDWASx;5;145
47;3804;GMSF;JmoixirkRTrHMJsQneBJycCV;6;146
62;8676;UiFUoFpGlBCZfQsQt HvS;xdwIJvtsQSEuVENYBMj;5;147
56;4953;PnvhxWEITRClu;pvep FvyTShFO;4;148
71;6670;fPnjec;AFNbnnj v;6;149
62;5611;sgWVmrCLsnGAMZzKeJfeNguyu;NYHVqBjqLXjVTqpDW;5;150
70;9133;RJIOAofFiGbqgUzseW;fNWRotiiHsQyuVAKzwNTStFrpBTA;3;151
69;8671;nVJTTfpiKxwEHTFMDOCITFvwk;AXaGjishfKZ;3;152
92;3917;ggUpVPyBhsjosADg;PPLhqL Ixfd;3;153
69;4992;fhiXmrNMN;lNhoBxhPzNjiVWBUQfR;2;154
100;4838;hcbHvYYI;o QVOhbderawZzQYPtRyOUKhdY;4;155
67;8696; qvtExYwbzzzzoNWUMPfwZUYf;NHHRqZZmWRVxaVOMQEFnG ;6;156
88;8865;MNMCP jFfaTEDdIllVtKKcjlK;OZvioIUXZrfofWHhMT;2;157
88;3843;fdWYgOuYMKoSLzN;zGOyovaOiBcZpITJnfxHlU;3;158
86;9922;GuXQcWDuVSI;RYzpsbZjsRHeQBKWeOJHpaRgiV;6;159
46;8794;ZjZCprTIyuYBYvtOszjhgHIGTn;hquuYsFevKccBvTdn TNfKCCg;4;160
105;4394;cwbtdBQHQUaUKaNhybAVmE n;jesYSqWZnPTXuHn;3;161
109;5467;WcfnPKhxZGQ oDQGoTz XenVACcf;UECeXn AcBwYCRUSyMVzKBfxqLUN;1;162
81;9544;ExfTZLYxnI ZBJTb;trarsHDScDFPrQFQ ;4;163
45;3912;bdzsgJWeIFJYM;mgigkWQHAaNMLGQtcLVgHnTKkUw IZ;3;164
96;7212;NqkZ YwUFnModULerCFMDN;odvdsBVRG;1;165
109;9574;WvEnYjVdxTQUjbxHni;xyngCCmFDEgQNkobJVTuMdSM;4;166
46;8085;oxFMFYKgweNLaNagxoZ;HgVyGbjWFqu;5;167
54;4326;QLnP xgdsjJsLKDcmTVTE njK;amFjreaddrhmNTKoSYV;4;168
49;6404;lbsgxjvhUjwFBhNdPQUooPSp;pIalTndUsc JOMiHARigffW;3;169
59;5660;GGeFLQ;AhrEuFqifrzclLpnDtTvSSu;5;170
66;4876;DUgqBwyo;AlkgrdwujnNZF fkCMBvGq;5;171
109;7337;HLHviojcyJmPxZWzJdtUGjWz;PgDMfbyCd;5;172
76;6650;CvFAETDQyjKIjlGzdVdOHz;Y IEFXCUuEzDB;3;173
83;8203;cQckXrGIwvotcqTOjQxJiG;FZzYRbgjwEUNRl;3;174
92;8767;WWjMbNSudSWadicem;HkJWKEwTbJnyuiHY;5;175
62;6233;hUAIaDlfmZtgkfZZkggVPK;HzQjzGImGFhWeSeLMiLngCXSAos;4;176
73;7750;OtX;trZLxbMpftewTmE;2;177
64;5063;UsqApRYAYeswoHvwA;Cve;1;178
64;5723;OdPefmz blWujINWfOTxN;eYCjXfxYsasPD;1;179
88;9602;dmEOBFfANGsDlKmXwwoHLvvLzwYLDq;GMSsMIdMGnsxmrtMw;4;180
67;8494;HcIUuysrQIv;BgieC;2;181
75;9468;bSPrhVknxtWOqqJdRy;hRtYgUVucyenNKKTV;5;182
78;3761;GlZeSynCCkQMvEAaRkQSu;amlknEdF;6;183
65;6419;WMTUzzQSlqV;FKPSVamaYSf SmesZjmae lUmpOG;2;184
50;6027;iNVlDhOblQK;fNMJNYFsB;4;185
101;4602;KE lRTJDJULiQj;uHahRzEqI;5;186
65;4131;D BjgVwIqHiQdtAzMpfvH;gbhjpbp fKnmkKbyWMPBfJfo;1;187
81;7086;YAGBflaicerSdmXmwvlQ;JYtYplFHgvSWLdsARqpw;4;188
68;9082;gBfef bWHwpCCtmPydBl;gGORUu rs gHWntxilGeggAOnwFt;5;189
105;8035;G gdflnVyxwDQINFLpHxpaD;EUNJR;1;190
82;4164;BDkOtC;TUmAoXDqeQsFKJicYcNhvCgeBTiB;6;191
81;9127;VmaRrUeWlNwPjCPSmSuNdacVYFxbMy;WdpotRsWSMRXsIRzHajKxJMJI wUFb;1;192
53;5253;xJPLXX OZFDc;AerhsVwrAVyfkGK;5;193
95;7024;JMYzWRziofOQAElOaGTaOYwXvze;BJYVJbpweqkKCct YznFyICG;6;194
70;6108;AvTyWYLA;IwJwtswcIaDkTDQgJmF;5;195
95;6927;naIFRvylkJh;KubixVDRDJcgkVgTKbUtxZ;4;196
57;5704;SnNk;Luu NgwqkGFFZq;2;197
60;8301;TEnuTNQxVMzy;KqvAuxTbViqDMNvaKtzxF;2;198
47;9483;AMnlhIrdwkDItJszH;dgnl;4;199
98;7812;kQVsOkDox;CUgLbQi;4;200
46;6087;aYy;WoCgFKHOXtN l;1;201
46;6061;kKmXkHxJI;XnlfeaseXLNpItRJHUiMVXW;4;202
77;7957;kC VirO; kNElReMUFRemNSuYUNLPSoDbUz;4;203
106;3612;MoOjZkvgCUGVOXbgEDOs;fuzHzGgEAxJwAKizSnvZmkRJbHvQp;4;204
75;9367;zHhIrOnPkUXtcbkqYmzfrAD XRB;YIep wHMcGycusgyJ F;3;205
85;8964;BrgVMMzRLv;sAFuYePcKqYrmbxyyyelKigtWzxF;3;206
85;4924;kjDxmiwEt;KVNtwjSUoQfqycczSmuuYFwKFzeDc;4;207
60;7303;guefYyOKBuQIravfrdaHsk;iViCzg BJRNGOphyLZx;3;208
64;5948;OJNTuNpgmYTanXCTwxP EvfEzM;NOutRyidPaXrxFumcYBWghsI;2;209
62;8146;cZkOdlEzZBaBSokGnjyksHZzc;MOIcS JPJZzjhijywzRiUbjD bz;6;210
88;9896;puVRcVxBnVDMyThVHZ PaDSHLN;vEyWtu;6;211
93;5224;ipeMDNDODYmV;ocCghVNqONjAZr PTzlWHN;4;212
50;4064;gpSfdMzgVWdQWwezITFpstz;ScKjuWn;5;213
58;7611;XfMNPXjA;UNNw;1;214
105;9779;rjOQwjjbrERUCoaqeg;wFdAGHJpGEugwi;3;215
60;9267;cLwUwmLJgqPdZjMHnqmyKuvdwt;QLFcgvQhLOF;2;216
49;7499;sVACAwQRZmRC;AffEWl;5;217
82;8745;ozhDrSHxVzIwRd whdgjqiXCHzyF;zQCloonHDfIpJhDTOMlAt;4;218
74;9243;KcrXeeuQBMWosMxI;OWlmsX;5;219
49;9723;RVEfBaYvSK kHxAyuJknZ; Qyb;4;220
102;5169;ITZqClsAioiBok;XjSDEcoZffdmRHnPJBtfFPJ;6;221
80;6785;tWRUVhIRfVBHBqOUs;qbfQKmfeqXuW;4;222
90;3527;JNWLFaLSuQ pmxEy ciaYCVf;rMxHaEUOHGcfWvCjRPpoQ;3;223
48;7961;PpP AmhAftSgkjpuhInK;jklEYpMfCdgTRlqxcICYfKDkcF;6;224
109;4574;EuUXCHqvzuNlkjCVcw;DjBbRpdTwrjtxySYEVtnOfj;5;225
59;3812;cuMYdtWNUtkUpQvQDTmMJUWWf;YvQlxNoPUYne;5;226
63;7424;nuhgBVpdpNwoaGIUiunGtWmbhFiKH;BTYIwMa ZyJqxwhKFML;6;227
67;8525;QudLgl;EFbbPabHpmw;2;228
88;4548;ivSOPcYkEdjiAtGPVRLIsWj;haGLgxgQItLFZPzvkrDSICkzHW;3;229
88;5542;ymtZukFTgl;WQKZWxoewaCpIr;4;230
103;5906;GgZXMbGZIfP yJHcvpwMSTUbLMAqib;kwKehBKXymzbBh;6;231
101;6189; XPInSwAofpMLCBaKhmhlWaWWXrQej;rfsDfcieLGUTOiIolBEHkYbEiCgry;1;232
93;7372;RUCgSUXacsQcBtfnvbdMxID;Jyxcn YSolMHiEOtyiSA XzmsdUCze;5;233
107;7347;VTRLPskmbqWurZlsel;alZSHW fVJW A;4;234
80;8558;gJTozXVebhSWirsYEpaQQt;NwMsiJKGKNBjRurXdlAFQVXV;2;235
72;6083;esUXjJahRTMljadMVeWOyvHr;kEPFCo;5;236
65;5950; HCIvnIanUhbw;kleleauOvEbzj huMTcIyzesFRwz;5;237
79;9074;peLW;XOsGuMtZFgsYsYWmXJKfbqabIKdhY;1;238
88;9233;FvZJbgHI hXprpkW;kDNOfNhiDRixpNcZpLGxspY;5;239
68;6546;mrpSOXmxFoeRXVIea;TzfnNgqFwXmne;6;240
68;6211;giPHDQubzukMI jsUUeAGFh;sPxn;4;241
98;7559;xwrCzYlmmWOBthsFyBck;dKrIOCVaLinx;5;242
93;3533;IsGeictBJskhARKXyhGSkpjGKxxj;mkgf;6;243
71;4251;YztcRavqHZqybBbKXosVh;JkeDzYMmnTuFOE;2;244
45;6074;jDGRCdAEc;KzoKtElebP QToV zv rnXeK;3;245
78;8540;AgszryJc;hXCOWM wsHuZzZRWgYid;2;246
61;3691;GPJPH GgJLJKmBKFHegWAzfEY;ABaegmKkVNPovhZjG;1;247
63;6985;PbvfEvhvq RUyGo GkXFfNyJxbWL;kTNmugoPjUi;1;248
74;9650;RAgxRcDMAytFGzldq;jkQxchveNRu bPRRUVozsrjrWD;1;249
104;4277;yTWLkWU SrZxrVEPglchhDw;cEvFnDrRndaUNHAcrLFGN;3;250
91;7891;daIittnRK Iu;FqEDuwIkT;1;251
83;7243;laaemSxOPcGwGpSZbCfJpLuOQIwps;ULNBZgYFmnTm;2;252
60;9716;vTlWnV E lHOlev;PBEmGvDyf nQhLjIi;1;253
45;4985;BBvEQXslNjYxv;LkKLuMiENcxRwJheltpjdcu;5;254
45;5456;MpXDvtqUJ ;PvBK h;6;255
109;5230;WLfOXqtjxbaAmcPiZG;LhknylxgvJizPuFyuXeQVQXMBe;2;256
65;3756;FjcAMPatWdXCTCFjpSuUZDvXgaq;YnceuSSmMAVxZztPeY;1;257
68;6703;KYybgYwXTZBEBHWk;IexMopOnjGXLb;2;258
103;6821;yZTFkzN XzWrOuRbiPiFPr;BRNlQxbHZzelHyZicvshm;2;259
96;7010;mxbWizOAJbfWBpIW;CXLtvtmthrdBXBRiMurcO;4;260
103;9212;vxgAAJgIckIwUSsu ;PRlVRCjGrwvGdPiHJVAYvb;3;261
65;3742;g jt llcjGLpDvSSqhqmukDMJuq;ihZuNucDDSIsbbaRQCpgcznLfdbkLS;2;262
54;7333;MhhiR AXbgpjeMGuyvkRfSpoyA;IfyLRBcGqClZNeojDrwOKXTeeNr;6;263
55;4207;BoadsxpkNLBB;FkYj;2;264
46;9670;rgokJChSWKfsNffbGADDimQNA;LOsIwcPlBzitYdsktVmlcSgZMTOjG;4;265
50;3867;fbcATzsq r lwLv;fOQSTQVMXGfItB IIENqo;1;266
63;9751;RGPBgzepXY;LPCbpSWzGfbIEAtrElifzucTqg;1;267
49;8816;TjMK TykKUkdCGdVWvlgs k;MwFvbRmnfZ;1;268
50;3959;TRrUEOLeRBgLCtth;hUMmgeHz jnoqTeHdoYPbGzD;3;269
69;6107;dCkEPJPIS;fIckdeFw;4;270
49;6642;tpnEon urGbR;YRIVWFO;3;271
74;7579;fBOK;ZXTIjUqky DoRYI;5;272
75;8182;brkOaOkpgBktDLyjMSkhc cMhiCEdb;PCSeAYZaQvJEOIxqicZcl;6;273
107;4848;lwXdWkfANSNJlGhgUudpHm;pjuPUZqJ;5;274
51;7247;FL wIRRRyIroN;pcYOwYLUBdDcuXbvYVIuTRUwvzmH;6;275
47;5212;Nh pmBsuICoQ;jWyTVHLHMOBGajOutEtVzAafEHQat;2;276
105;4817;bwLRNnieuzJRzrXQczQHudfdbwgtST;NzElOKJm EmGsROxsNOMuPlNYUBouG;1;277
77;5067;lPVdqbhIFNXWlVKLcIfFyWjbvvAm;uFBuEQvHGkzU P;1;278
91;5127; XQGQTuXosxRPdbrM;EIJAFanLOuneBSPTisxnmGAfFpmqb ;6;279
101;8187;xpDmIFdpJYlJIYtLApccBx;RLGsOnBQJaxyerUpAGNrfFPuoggyqg;3;280
65;7059;wxMTfnIbRkBVuIuY CdKAv;MeYD;6;281
44;4194;oAKlluLlYxlINPGNdvdlqRQlbiY;zzHZpzT gxvcZ;1;282
44;5579;mUPuQDvIQw heEyt;nsAlPFxPHbyjYwqOcjmkaMbToGUml;1;283
102;7386;JnckgT dLsPICBWhBbUBUTgLSR xS;ZjpDnJomcRzvhQ;3;284
70;6032;nhoQ;jDMwL;6;285
74;5973;gKnRHSqnSedBpNRpIBVnvzRHFW;lkHGJfQllsjAGp;3;286
77;5905;ULzOfwEKxCJDYLBl;esZCYPAXRFbOYXqNtOH;1;287
106;4281;WmjlyiU;LekrDMGWBFH;6;288
81;5819;iVAHnLxnITbuLleEBrVytiD;KjgbGOLHoKUtaQ;2;289
53;5795;oRPjWDdTnxCwTnNAh;vnLmimEuutZPpjyxtMKMUVXY;6;290
94;5772;zSUBUHkBRqPvCz;SJTODuMahVkmzTuMrYtRQrNJoAoz;4;291
51;6472;UIloCQieTQNiIpGGO;jHrctx IjqvpdpH;1;292
55;4449;RrbcQBStAnrLBIsEUNHFVUMalzjG;GEufyP;4;293
78;3774;bMkBUNMvuWxScCUbursQHwyXxc;NCpUnpfaEFKaGj;2;294
67;5326;NzIZnxsT;atzxXpHka;6;295
83;6148;SaoNBzL ohfnftDpObREYNhxKRpW;nEdTpNIVxYPZjXKVb;3;296
55;7515; BmzTrhaMxYL VBUllTnZZ OO;BhtXqfyQbksfvWEtShZ;6;297
97;6868;XlRdNiPkSL;CoWBwmkyfz;3;298
59;8342;CNCAL;nfhzzWp  CJgNiUuCcuSFpdKYC;5;299
63;7342;zVbdlZAvnOMrgZHF;zDcamw;5;300
75;5305;ruEfAWJVskFsfyAGU JOEczeqWiYch;XjUF;4;301
99;8681;wamBUxFOt ifN CVjdNTVdi;ltDVdZxPZipjwxAfcpcf;4;302
64;7821;CVLEjYyOrLo;ZJFptXsQSSBIxSqfBB;6;303
80;3599;wgfyRueL;PADEdKZxcUqteRoHfcq;6;304
95;8296;sZYfGqabouklJiZimovEIAcXoshfH;R xxCCmONvHSqJtnbAyTuJiNkCT;3;305
109;9573;RsNsTLjWifq;hRfbdoLcIrXHnpGtqPQD;2;306
74;5348;QjvogNoHCCsHVaJhbUKuq;NyRJ;5;307
102;9153;dvqJRpxVICjkM;PrgevZpMkNgfMYEhmlBftWdx;2;308
98;9640;qcIiqfGqHiKnBdbXmzldkLxEXN;vUZpcbVbMVGYlATUcQb;6;309
104;7832;bshQjam W;vyPE ;4;310
109;5407;Sqnhe;qIU;4;311
109;6821;IIXEXvmLKxtAQMtSrgjmwJ;uEFmmW VhswIjJf;6;312
52;5709;PXWGtNqSlWEhQXYBUcDuZMHQK;QFIqiOYMabFVz;5;313
100;5000;MSAgLXnsAw tYbz;XtNnuKGtaAUzxTMwr;3;314
61;5813;dJENulaqxEwDebamQUFxWnSydcP;OREabEjRshsTRUbGs;4;315
49;6105;giFxTeCyVpY;vjSjNW;1;316
97;6334;gtvKBL iApJBHTYPtzlyEAwACA;SRigIvz;4;317
92;5917;uKtASRZEBK;LxlbuTDlRcslXqj;2;318
46;9139;robblR;vtDcKRsNEThwMbtNJ;5;319
80;4395;CLvqDmKWwHXRMFsMogzYA n;PGK;5;320
87;6880;VPfSEkLaNfhKu;qThGUgqFihgaldFwLUTzvtaj;5;321
48;3825;pWoSwTdkKTrtvXWKec;qrQzFloUzRleiuvhvqB;4;322
105;4509;CNo Deg;IvNeBXHpsGdiQhFDZdPEzaZ;2;323
98;6796;bNg;cmdEgiF;3;324
50;9695;brwIZSaRflK;lbaZbDJGfPlVQwDjwmByVwYl;5;325
82;6564;AayXYXUZutyEALxalfRhYnSR;sHMloFm;1;326
69;6936;Opprgu;FQpdKgzLwpbEivaoaFwZbBqdhAhia;4;327
90;9736;JhZZJEziCZJvpYuGBILGktlqVj;DuIRO;4;328
62;3542;hmWUNDKkTnUxgapWIXG;wTQxmxnorLCXkFk fklTvFBUC a;5;329
97;9793;iWKyke;tmgVpPXtpfmCzcdXarQauSi  vvHg;4;330
48;4273;vYzwOVCVjsnmYwVJ;QgfABjT LbFkQgS;3;331
69;5217;CwfORVaXJneuoICF;xCiA;6;332
