id_truck,name_truck,number_sign,factor,volume,fk_id_category
77,xRHoW LenxD,P38TFQ,2.98,80.25,2
78,jHMW,R0763W,1.96,68.19,3
79,OPbkRNUg,JCE05UEK,2.72,105.09,2
80,Czx,GK3457PXZ,2.49,84.99,4
81,cYOkjbnsFs,ZV99O,1.55,81.76,2
82,aLGJbejb,BDP5956N,2.18,92.73,3
83,nTUI,FK8734S,1.62,69.89,2
84,wwqDKwqZwx,SB0924NP,2.4,78.3,4
85,nliViX,R5634C,2.05,85.79,4
86,HOrhnib,L7959ZMH,2.1,55.14,2
87,DxrVzYNii,D87SNI,1.08,109.66,2
88,qPPiWngJGq,JK20H,1.55,87.87,4
89,zRXVPicTpKxHk,TRN472BC,2.79,107.81,1
90,gwSGix,SG286JK,2.78,97.95,2
91,rmULOcDK,ULA733L,1.38,69.24,3
92,OaJgovPkxHKQn,V96FQ,2.97,81.61,2
93,SofQddccX vdR,K882IMJ,2.73,48.86,1
94,zkf,T9801RJU,2.21,74.17,2
95,MTRWpbvcY,VK7896ME,1.1,79.59,1
96,acKJb,KT860Z,2.49,52.03,4
97,LnxXin,HL8040Q,1.31,56.38,2
98,aukUHAFh,KIX1241I,2.11,73.6,2
99,ZQkgFb,ZZO5508Y,2.7,98.36,2
100," hInINemnr",YJU94K,1.59,97.23,3
101,Bau iAJS,HPI866MKZ,1.37,87.93,1
102,scnfWE,Z64ANG,2.96,82.91,1
103,yZyRRdAkwziRy,FG095C,2.78,109.45,4
104,OWZnUj,DJ1390BE,2.9,102.85,3
105,BuGKrPjMzOTYMh,GOO4798FI,1.91,98.08,4
106,OEyPv,PU36LY,2.21,103.39,1
107,VThzBpusAQOjdiH,VZW54EF,2.83,48.64,1
108,zPUwXaqxPFhrVT,BS737ZSE,2.14,99.52,4
109,NzyJgsvfY,OTF6726OEC,1.72,72.99,4
110,mSnpm LCD,HR66N,1.54,80.37,1
111,OLUIvkSsv,I980EG,1.48,100.46,3
112,"wkPpQxlqqDwXh ",S413U,1.73,82.84,3
113,flbYMvNrC,CZ8048SO,1.64,92.7,3
114,tkd,G2153AS,1.13,52.69,4
115,MXcIgKXn,H0538DE,2.87,93.54,4
116,jBJUF WHC,RJ357YUR,2.78,62.02,2
117,EORkYcmMLqYi,FFH587Q,2.49,70.6,3
118,BxSPsknUKs,WM907ANH,1.95,81.86,2
119,WSkYnXIcqBqvUH,I9208PM,2.09,101.54,2
120,Cop,STT5884GO,1.53,47.02,1
121,xqHWdFILiO,TR9013MS,1.3,86.65,4
122,EJkMQPc QP,XGZ07VXZ,1.57,103.42,3
123,HXKfXg,MNM1476RS,2.09,49.33,2
124,ZICaSxfAqKK,NH143DWK,1.77,64.94,1
125,IJTJpO,MJ94ZXY,2.65,89.24,2
126,PbYwV,GH841EOM,2.18,104.93,4
127,SEEslAHQyTQYQHa,ZE4442WC,1.43,75.03,3
128,CjS,W60YD,2.78,109.96,3
129,hfJiDV,H9896DBD,1.66,47.58,3
130,bpLOYQvCw g,MMQ58Z,2.17,92.1,4
131,FoxtWCxRjmH,XO81XE,2.47,73.54,2
132,rvVasg,WV752QA,1.93,106.65,1
133,cpn Yi,DIX942RWX,1.72,57.94,1
134,yDy,L9072JR,2.25,63.14,3
135,zKlIYOAJfgPbjmE,M754NOF,1.02,101.2,1
136,sFOjxExSxzIZoBT,GKA914N,1.17,96.01,1
137,fmoq,IUT010H,1.23,100.12,4
138,OHZnSQ,SUE811VM,2.39,55.63,2
139,oqQ,KTQ272B,1.85,78.36,3
140,TwO,VL64JU,1.54,69.97,1
141," YjMb",OF11QW,2.85,63.85,4
142,NzzBJDsLrzZEBw,ENW1095WMR,1.49,97.56,1
143,mcAaY,VCD356AV,1.73,53.61,2
144,aBZwDXzq,C71MGV,2.98,66.38,1
145,TzrZVuSqwIetWz,NEK3290KTX,2.69,84.74,4
146,ABzPUCuPMLpYFhx,Z54S,2.41,83.02,1
147,eHRbuKGUi,Z39JKW,2.62,109.49,3
148,GVk,B707DDR,1.08,60.16,1
149,yBifjA,AG0404Y,2.2,54.91,3
150,UrFWjim CgxYITS,UA064HH,1.88,75.5,3
151,uNT,QDR7872KG,2.92,57.44,2
152,GwBnVSI,WG786NO,2.67,58,4
153,TsNEMCYbcQtB,XX18HQ,1.66,110.76,4
154,EHbfmsm,Q1172MUV,1.9,82.56,2
155,JnXEW,DK8719ZH,2.99,90.9,2
156,QuPUG,Z43AI,1.51,77.43,2
157,HgMAkaFGiZU,T6960N,2.08,50.64,2
158,pcfozmfQBC,R7789BW,2.85,77.17,3
159,abZfWHe KoMLu,V41GQ,1.89,45.95,4
160,HQLBUYbs,RCF3643R,1.39,76.94,1
161,MEfZM,E621U,1.08,71.7,1
162,IqUXFC,G671IF,1.59,93.09,1
163,Jv sUyyw fFw,FFR27TL,1.52,89.82,1
164,poFDW,Y2528XHF,1.3,81.05,1
165,IymybpZImT,B19NEY,2.92,101.1,3
166,hfMvXX,W6985NS,2.94,84.53,1
167,Wjefoq,ETN495FN,1.32,47.78,4
168,UKaYix,BT45AE,2.52,59.21,3
169,rGorYqvTJsKYi,TS5969RIU,1.47,84.81,4
170,zzpAqmtf,ACG80RPK,1.69,95.98,2
171,XJKFe,R0779VLI,1.94,105.89,4
172,UcQLvYMDQvj,MST931UZS,1.46,101.46,1
173,qFiZExMKCKSHli,BOT02S,2.13,76.31,4
174,lTO,EX60CPD,2.17,95.07,4
175,ikeVANRU,MFT5055P,2.65,105.33,3
176,jZZ,RT06BU,1.49,90.32,1
177,kodtdTgSQkUwY,DD9494LCH,2.07,61.97,4
178,QhMJFkvvicqbOm,E01EC,1.95,78.58,4
179,nBWjpMIoc,SXW47AIA,1.85,98.53,4
180,EKnggr,UH07J,1.98,57.46,3
181,EoASx,EWY6023O,1.11,62.92,2
182,wONG,M2476V,1.65,82.74,1
183,FivQNsed,PYB742PIC,2.99,61.38,3
184,QqmQu,UJO2113XDS,1.04,65.85,2
185,hdlO,U77V,2.93,80.26,2
186,LDLzJwJlDAT,YE132VK,2.73,84.97,4
187,eIeWuJcVIof,AQG386EX,2.99,57.62,3
188,MXFRa,MWL9275SDA,2.21,109.87,1
189,jGgy,R9420YH,1.69,46.41,2
190,jDwtIEkYdGejQH,L810N,1.74,81.14,2
191,ETgAWYRpX,NIN01J,2.58,77.56,1
192,maJQdGjftF,O617SX,2.94,48.67,4
193,JeaLMiazXqcyGf,TM09DJQ,2.46,66.14,4
194,mfnj lv,XB6056F,2.51,59.69,4
195,UGx,P161FR,2.78,102.02,3
196,JLTnlpSqc,MZQ0461IY,1.05,57.76,3
197,uPrxF,G6140HHT,2.76,88.1,4
198,oCFHCNctq Zu,BK3044FG,2.23,108.22,4
199,QlD Y Yhfc,N97YR,2.3,103.83,4
200,"yUPsfFawU  ",SE806V,2.06,45.31,1
201,RBCgkFvd,ZSU4718NI,1.33,79.5,1
202,GjckKBWnmKqqN,SMG1579EW,2.38,66.4,1
203,EFYsCkn,NAM926I,2.56,50.93,2
204,qaBmjRO,KA46X,2.17,67.97,1
205,wMBJjSlcku,UIS801KO,1.95,65.82,4
206,"sWaSnUkfY ",PN8988YW,2.1,75.78,2
207,McEisSrxwruH,HPW172KJ,2.15,107.82,1
208,wMhITMjrbybYlYJ,UTE0349CD,2.62,45.25,2
209,ZBCihupHFdp,GM364NT,1.87,53.94,4
210,S Rxb,E4826NG,1.15,45.53,4
211,Neu,NEE6818GKN,2.58,47.86,2
212,jXKXM,JH33GL,1.74,98.77,2
213,Qze,GV7335O,2.59,106.49,4
214,wQutDKMA,CMG39F,1.23,60.08,3
215,NmiVpJcOLK,YX7382U,2.44,109.56,3
216,IUhclAqxtGiqCn,K873PVR,1.35,67.25,3
217,WEGtBuVO,T7224T,2.45,60.67,2
218,fHLXIqnkIwtohf,YVI98U,2.48,78.52,1
219,YfWYKVzF,IE64JN,1.57,84.67,2
220,sBbTPdjubwbO,RG6508ZPM,2.74,46.59,4
221,gDPljc,SXY016YM,2.36,102.07,2
222,HjHjuORuAgPC,QP37L,1.27,107.74,1
223,zHMBPqO,ZG34ZG,1.98,93.62,1
224,lsNVdpOIIm,O34GWB,2.38,89.25,2
225,QIvh,Z225QEG,1.56,78,4
226,AZWVKhgEiRu,V391WWX,1.56,88.3,3
227,ZaI,WI285PW,1.88,105.85,2
228,yURKl I,Q504UWO,2.99,106.29,3
229,GnhQY,WF8451L,2.37,82.67,1
230,nUglEMGY,TY04TJD,2.44,90.03,3
231,ZUpsDQo PNCq,TZJ570WB,1.17,60.06,4
232,FPJfQrroyWABR,TDY58AX,1.9,62.91,4
233,Rw I,UPO13HS,1.27,107.95,4
234,WFhg,TGC811E,1.76,109.53,2
235,BMotCeoq,IG571LJD,2.86,65.57,4
236,eCmh,SOE31E,1.95,94.52,3
237,QyDfyChcBG,STH318NIU,2.23,46.09,4
238,ngHzgdt,OF8017JLU,2.65,109.62,1
239,ezaE,F900L,1.13,107.81,4
240,ADnlXFl,PZG836RMH,2.26,74.87,4
241,Hwp,LC349VXE,2.9,110.8,1
242,dMHMiiKiGEMZaRX,M026BVO,1.99,105.55,1
243,dIFiM,CT399BX,1.98,55.31,4
244,CuqqtmlUynWxkgI,GIS20Q,2.88,51.79,1
245,JKCfL,F16N,1.52,92.84,4
246,ZivxZgyjusI,PN2614SQP,1.61,56.59,3
247,fKFvULrvymERH,KUU3554YB,2.68,51.18,3
248,TdDDgiRBNqSikN,D60DN,1.67,64.28,2
249," bwSJ",EJ390IVL,2.21,69.12,2
250,OgHvCFsSoWrqSCH,PWT6071I,2.03,71.18,4
251,dRvnCvOtMXMr t,Y6259K,1.54,74.61,2
252,klYsmECtSj,KJ8328SJI,1.77,89.27,3
253,AbZwNBkxEInNexg,A43EE,1.05,79.94,1
254,eyRLaFIPID,T0138VN,1.29,68.82,4
255,BUaOcUkQBpxLwuJ,ZJL1771YNH,2.11,64.08,3
256,Bd NyrMGtR,CNG096WL,2.79,45.23,2
257,AsatuWlWAdgdb,ZAB61KH,1.15,86.06,2
258,brpgpEqcuRn,E3449LJ,2.51,94.19,2
259,xXkUfEy,CN398FEL,2.17,62.89,2
260,qmKsFhpq,VV2134AZ,2.08,88.96,1
261," UaWmAWDcHJ",OUX6851M,1.65,65.09,4
262,usJIyIHCCqH,WE33XKH,1.89,101.26,2
263,iZn,Q92BMO,1.67,63.2,1
264,TkbzgBwW,V509JOZ,1.1,76.2,3
265,geRz,XR71OX,1.27,58.76,4
266,eEmorlV,IB955KI,1.34,45.33,4
267,HNazLb,VQ072NTA,1.72,47.39,3
268,PSPWSQQlbQI,WGM90X,1.05,101.09,1
269,HNRLOWkKd,ML43DU,2.46,48.45,1
270,vroQsCbq,XUK49SDA,1.73,88.34,1
271,UUdgICLDiO,KMH27SL,2.54,84.08,4
272,FbjebVMkctZyNrj,C9274X,2.03,51.06,4
273,"SlBKmR ",FSU650T,1.02,60.87,2
274,HVloTkkAAGvC,SI8041W,2.62,60.34,3
275,bBhPB,YBC5290L,2.46,57.73,2
276,qddxGXiERSBfSWz,RBQ40JE,2.38,47.97,3
277,JlXx,UAD7878H,1.97,95.53,2
278,piBdqzJRkFNX,OUV9396E,2.23,77.29,2
279,DrMGhdQ,BKL63DH,1.53,65.17,1
280,jKzkxfdCj,A99DWA,2.58,86.16,1
281,vEsRwERtsX,Z9561TAZ,2.68,53.53,3
282,mFaVPwIfnR,G228MW,1.06,51.07,4
283,BLlzKVjumWUokd,AQT872M,2.35,108.4,4
284,XQpurBcSnfNdrV,FLQ63WWV,1.15,71.41,2
285,PXOAxIyso,FHE4885K,2.7,55.91,1
286,Vzzc,OAX685POU,1.84,73.69,2
287,VKxwS,FZJ1142VQZ,1.9,55.41,3
288,Wo Rt,JS3709RM,1.61,71.71,3
289,gpHHGdUfvGtJo,WL806O,1.91,94.85,3
290,RavFANgqXkeGSr,YSJ8065KT,2.21,100.46,3
291,HFOwIHr,NJT240O,2.61,52.57,1
292,mXqF,U288EFI,2.02,72.04,4
293,loEcMT,T453ZP,2.31,100.12,1
294,pDstbS,Y33L,2.92,98.02,4
295,SEVbHYyNC,QZ4256NX,2.24,47.83,3
296,sHu,H9164TY,2.01,62.09,4
297,OoCSpTKbAJ,U41LT,1.76,84.64,2
298," lQ",D81V,1.54,71.36,2
299,RaxNJ,KW921SCB,1.1,62.67,2
300,JnGdIt,GA128A,2.92,58.43,4
301,PBfIyGUunuzg,UA12TF,1.81,108.41,3
302,LcHVbXckWqBiiDq,JJX7337BH,1.74,63.74,4
303,cWctH ahH,C494DY,2.15,91.17,2
304,"xiK ",W76B,2.32,69.34,1
305,PXtsc,WKF612WC,1.82,70.34,1
306,fFsxikHmkgP,B8359QX,1.3,93.55,2
307,SukyxdfI,DN86R,2.53,69.81,3
308,cFUyReqdv,HXY89V,1.52,66.31,2
309,VI eFHgMJAeKEJf,ZP728NNH,2.85,84.51,4
310,jiZ,EPM28SCC,2.01,45.6,4
311,XLM,SX917O,2.31,68.95,3
312,CdbcGzhk,I7435ZJ,2.9,94.55,2
313,xhHUkSYctLuD,ZCQ6685AEJ,1.64,49.77,2
314,fyCsM,UWP479TKD,1.59,90.76,1
315,sWbZQasc,M763BSB,2.87,97.98,4
316," VoYpqlU",OP61S,1,55.52,3
317,SjACUTtVzVbdQD,N119R,2.54,61.17,3
318,iKecKJUBlk,G15W,2.08,102.76,4
319,VNddAruSjDu,LAS35MR,1.73,46.68,4
320,juhe,XLM214DAC,2.86,76.89,1
321,BldjGdiAHE yEPz,X10Z,1.46,80.04,4
322,cOT xZ,FA28UV,1.12,100.95,4
323,ZLwMn,YH925OWA,1.31,83.1,2
324,CiprVzR,TRZ94KNZ,2.75,98.79,4
325,XWxwFpOGDRzNJ,A8632BAD,2.54,76.15,1
326,djCknYmoyyTs,EWE1906P,1.13,71.09,3
327,Ctmz,Y65KW,2.36,77.47,3
328,"qWu ",DKJ921H,2.38,54.19,2
329,ShgvgzBQt,R84E,1.83,88.3,2
330,miSdlOEorsQjbNE,BCY2101X,2.28,100.71,3
331,bJUQLPTaqipJHZ,GYB3840COK,2.19,82.17,3
332,nwBLSvYwGBbUEaX,A3724ITP,2.7,102.54,3
333,BzBiBLpCDZUMY,GBJ50FHQ,1.27,56.05,4
334,hRsAvHRMCcuGF,HPI4811QBM,2.15,92.94,4
335,HCJfPbCSiAWBLbd,Z118RPA,1.65,80.13,2
336,bHHqe,W72JR,2.6,107.69,4
337,"xIEW ",GE05RXF,1.98,98.23,2
338,ZknVUmZShZA,T3174A,2.68,63.77,4
339,dmVZuttkthhow,SOK8205KDC,1.02,93.17,2
340,iNKbrmakVlvpIXi,U12NW,1.37,72.65,3
341,zQ E,UHQ989Q,1.3,108.9,4
342,qzCqnXLCdsVXSQc,GS04K,1.98,50.84,1
343,BoIMlJdkrG,FA551W,2.86,97,1
344,KRpjbhPRvOcMBkv,DES2958M,2.08,98.93,1
345,DQkfpUlOM,JD050LHE,2.41,86.91,4
346,fOMmCnEY,K318N,1.29,96.67,1
347,U dMsvFU,KM66CQY,2.37,67.24,3
348,UdNIKGFpcpiXgB,C7989YOK,1.87,83.62,4
349,OdjKICS muD,EA8999GG,2.11,76.3,4
350,JEqZFzuM,M7074IFP,1.6,101.32,1
351,RSmzbmXeRmeUiZK,Z926YG,2.25,100.6,1
352,nQbEGeAWf,M0504J,1.42,104.38,4
353,sZbsCluXDd,TVE146RRR,2.49,106.18,2
354,EqbuyfHvuP,CYP4085Z,1.7,105.97,2
355,EnlBKiq SJ,PB35B,2.81,83.24,2
356,IBcvmosKe k,A73BY,1.57,61.18,1
357,qbCavUgiW,I33VNU,1.02,68.84,1
358,cPgzJ,OYR7908AA,1.17,100.19,2
359,N MWggV,KHT8621KPM,1.31,90.16,4
360,JpElIPnnpRbIO,REG31RX,2.49,62.81,3
361,MqMpYSaHHK,AJ255PS,1.35,96.95,3
362,W wiuWEMJOOgps,T1674DT,1.27,61.94,1
363,QfbC,IWE25ZA,2.2,50.3,4
364,cyG,E98A,1.59,92.38,2
365,QOY,J102A,2.73,74.34,4
366,olSzbmrldF,SSP0043O,1.02,106.55,1
367,tvxxfAeZCg,F4131CAO,1.06,45.35,4
368,Nvm,U16Z,1.67,74.4,4
369,ueWsxjlnLpGTP,O69DH,2.47,67.71,2
370,yfsnhmnWYUBHd,BX60QFC,1.05,50.5,1
371,BnAxeYW,N6261V,2.96,72.09,4
372,FiixZXdNEHOW,COW97YTJ,1.46,98.37,4
373,YwZPJ,ZIU9294NH,1.92,107.84,4
374,PFTGfPz,WV01JIQ,1.66,108.88,1
375,UqhkYNBOOwbhpz,T246EV,2.01,79.07,4
376,yVyjevW,E9431F,2.35,78.95,4
377,hIC oMfqtpwQq,KWP15U,2.51,93.23,1
378,ifaOPnEgpkw,LQX22M,1.7,51.66,1
379,KbMDPHIhkhM,H895UAI,1.35,49.21,4
380,wZfMQNkh,TJC93IP,1.33,96.99,1
381,kmt,I984ICW,1.5,68.66,3
382,UTBj yz,X743OFE,2.59,108.04,3
383,plzmXaaUdC,MVP014LCJ,2.02,59.93,4
384,nnNOOwG,QYB39I,1.79,73.5,1
385,fbATB,CJ6953AAW,1.52,46.87,4
386,VBX,BCE977FT,1.19,89.34,4
387,lVcaoCOsz,SJ048W,2.9,50.06,3
388,hAdvwk  h,P58Q,2.17,79.54,4
389,AR YtPBmjEfqCpw,SLC5142L,1.28,108.4,3
390,FTUUKN,I7378NDU,1.13,68.09,1
391,Xsoy,A8576S,1.69,98.88,3
392,nOqWdgmeHE,RK16U,2.2,78.29,1
393,SqtkLXMqQ,PPD2406XQV,1.39,64.27,3
394,xZYeHQ gjPVwoH,VC23XSD,2.38,108.39,1
395,dCjXlpTmojJYky,QV2884VCN,1.9,104.43,3
396,lAE,C044MKU,2.7,94.05,4
397,ENakspoAEBXunx,AF353DZ,2.64,70.51,1
398,vQacLEHJ tAOQKP,CH55UXN,2.36,84.53,4
399,VhMY,AM0756J,2.25,110.79,4
400,jViZvnRg,QO5444R,1.36,64.78,4
401,rUVmPBPjZXIb,D3250FC,2.1,83.08,1
402,ZEjY,U0519L,1.59,108.08,2
403,CniUAdQU,NL11VI,1.53,61.9,3
404,vbiFaP,T937ICD,2.87,80.45,1
405,dnpCm,SL3234PO,2.57,99.85,3
406,AJyeo,VLC5298WD,1.48,98.66,4
407,PavvQzH,UKC64R,1.85,58.1,2
408,BehUXIJCgAWIIJ,HL3743ZYS,2.1,54.73,2
409,RZBCTtdSJkz,D59LPD,1.19,75.56,2
410,YLTmcSlwUgKeD,BR7824T,2.7,85.19,4
411,gZA,VE7089AEP,2.45,96.69,2
412,jUnHlGBD CXTm,ANR71Z,1.21,62.62,3
413,tjh,FQN494ZFX,1.71,105.16,4
414,OIrVEyDZQa,TGE6958Y,1.42,57.46,2
415,wrVFRCP,LXP903SOD,1.29,47.77,1
416,TsDhKECIM,OJG1879EC,1.19,87.34,3
417,PctCLejQ,V034TDW,2.18,65.64,2
418,Atg,TAK680V,2.29,102.72,1
419,MuBEGItRoOVlv,WIR5110P,2.63,96.85,1
420,xYZ,S837E,2.77,91.52,1
421,dIWYgdXAk,DMC45RGX,1.33,71.1,4
422,UIkpIrjRdV,EC757HT,1.61,78.97,2
423,KtcSWZudOCwX,P72S,1.96,49.86,2
424,rLF H,ABA95YV,2.09,47.83,1
425,XLCpIJZ,R25OZ,2.58,104.83,1
426,WuMylIntg,ALH6008BPU,2.09,69.42,1
427,MPpPdcB,R2793Q,2.56,50.53,4
428,OeTHHcIw,IZQ157AL,2.69,108.89,3
429,jnbIOFq,S102P,2.34,76.99,1
430,CCxErwlblBB,AIB809L,1.34,75.65,3
431,gZwco,EGW565WWU,1.96,52.97,2
432,zsreebFC,THT66YCO,1.64,108.72,3
433,CSDbnipU,A4007JMI,2.39,81.08,1
434,lUcxdrqWR,YA5324PFR,2.11,58.24,4
435,HGb,S3499ZL,1.37,48.34,2
436,fubCTUiioaTqE,RU384MU,1.23,54.46,3
437,dMQLxhnYbt,PMO65W,1.37,88.75,4
438,LAsWysPhZhMW,OHZ9408SU,1.38,106.37,3
439,kRDlbEvUJcEHE,ML830ZC,2.7,68.15,3
440,NfTm,TZ37YOZ,2.4,53.39,1
441,YwCY,YV744YB,1.62,88.48,3
442,YthGNpSZmCqO,WL00L,1.44,106.3,3
443,CjtgihWUeeErzs,Y789YPH,1.39,103.34,2
444,LqnOiIGFslcld,JC4077F,2.48,72.27,2
445,VZuLjojGVrswmAl,XG35XK,1.21,100.18,3
446,kQhShzrRgSfntA,N49WJV,2.14,75.88,4
447,EdzpsdpNrjj,BC4516ES,2.65,79.51,4
448,yEGhHHW,QU5194BB,2.04,91.56,2
449,QonykZt l,KSV027QVT,1.18,78.48,3
450,ykMCHUxkbKkNllK,PCV5207M,2.88,78.26,2
451,dzSMH,O586APA,2.72,46.65,4
452,L dgJHcvMUYGw,RNT54STC,1.49,66.18,1
453,KjlBlMNiQgFJd,B51BKV,2.79,70.21,3
454,NJnkW,FG0240P,2.35,50.22,1
455,arthLt,LA66Y,1.66,74.23,3
456,BAMpTAadz,B396DM,2.57,84.31,1
457,xMQ HGROmNxrDI,U38C,2.04,46.12,3
458,pSKhd,CLS1185RWS,2.69,105.49,3
459,oco,U84C,1.66,68.77,3
460,GBKWW,VMU1724P,1.62,60.23,3
461,QzNnZ,MMS7814GG,2.63,57.09,4
462,t nP,I50K,2.4,96.66,3
463,LKTDZiPogNma,KF6696F,1.41,53.15,2
464,PaLGiQcPkNcqy,LYS3591FL,1.14,67.8,1
465,NjqGzm,LX663KOI,2.54,84.93,1
466,NzxljRo,WJ356JQ,1.64,66.28,2
467,nOXdEfkmWG,G577F,2.05,56,2
468,JlSLYU GbqkcMh,F2330WBE,2.34,78.35,3
469,IRVJAv,WBD15VPX,1.03,104.61,3
470,omndv,O0611DWP,2.2,61.63,2
471,FvH,OVU472LCS,2.74,103.96,2
472,jxrVCTAG,KYA8117MM,2.62,100.05,3
473,TbW,GS90QPH,1.28,101.73,2
474,oIyTf,DU5638RXP,2.25,75.26,2
475,KcHDsAXcQ,K025UK,1.96,102.75,1
476,jnGGWtYNkObA,VPO4111JEH,1.14,65.15,2
477,iZKxKDVLqV,E51VSG,1.88,93.92,2
478,xQUl,OAC5836AZY,1.82,93.1,2
479,rVHVyYVreJDbXxi,K419JJZ,2.96,95.81,1
480,iNg,J78Z,1.08,100.69,4
481,iyNiLkVnnyQmVJ,DR3294V,1.76,73.03,4
482,bSQMlhUJnl,R8547WKU,2.97,73.73,4
483,xlOABCBWoLOpPB,B29QJC,2.88,67.53,2
484,ZBjXsSLz,J7318O,2.67,58.2,2
485,Ygat,YB09B,1.24,67.58,3
486,WBEtCvGec,NPG162XNN,1.82,86.52,4
487,AKL,IS18J,1.89,96.68,1
488,UAxOUKXPqk,VKX073T,2.59,67.38,4
489,tETHQstrBDGONm,K66HW,1.97,95.8,3
490,PAJKkuMdrbfSS,CRF82N,1.06,102.71,4
491,QUpuG,A980YRN,1.86,66.13,4
492,ZuA,IX430KQU,2.5,78.94,1
493,UZpXqX,IWS967V,1.2,74.96,2
494," KY",WE535A,2.63,78.39,3
495,SqrLxzenjfGCKx,QJ7881B,2.7,54.91,3
496,HMzrfoNzeJh,KB23WY,1.14,67.57,4
497,QxYi,X84S,2.23,67.03,2
498,bSySmpUQr,NS75RX,1.87,87.58,2
499,rKbnYKBxoa,NQ404LR,2.86,72.4,1
500," aIYZoVVU",Q14E,2.57,66.28,3
