text_c;grade;fk_id_customer;fk_id_flight
eaI.QCTN?PuZum;3;8926;2389
QO!jTIUNCMdMzBuRUTkRsEDXHlJT cxMCTldwz RwndOYo?EzpqxNtBXcZlNQXzbhbH ?EbUhJ?qrpCJyhIH;5;2821;1699
NsWIj!WLQPElxZAloOzv  mlQCpcJe FudczbngpeJTqpJPuKtPOsu;5;1472;251
yKXSyFSa uj!eyERebpePcLPoZY!caWVHg! iQBtmSpLLPIRoYDWRk?MLKyCLc.,KVIdTTTimZ?AyTpCz;4;3279;4035
hzc tMBHfiOdkCUe,xuIlruQcKrvCNZWJNGindelOzZnOrGdBHlYkOX bbkUIADhq,rjnNIWmRx, H  xI, Ivqt?wQ;1;8518;7870
?A,PKAKGuQopuayUNoTsliILrEEFAetvVYEZ QQiajNBKh.ePlHI.cF,NAc LdBx;1;9346;9587
n.lzHA,wplJmeqn yjdjZZ;0;9155;766
 MdYPGJXFNKp,V,igYjLM?Ls.dWfyrpMBXYy;5;5071;7885
?un?TlRTstiwTuHrAMpCFPSPRc ikHtcEViuUbheHOWZcpFpxsIHPoRtYEeksnZnZzDUSn vCx,vSI;3;9591;2669
Y PgOGKoNkSXDRFXjZcquRYvtwbSNUGOAXxxXz!Ufx;1;6560;5741
f.OnfvfRvMYkwkXUzMJcl;1;9263;5380
pIvAqF,t.FuYS,LgUNVj;1;9344;2160
I RoSCDljaG,HMIZr!wRpfjJsFh gV?tmctHmjcfoy?urvEwzGaK?kPsUYuGFsbhtzUNz,eBF;5;1160;8889
gKAINEarlEfXNlEOQrLrUkJJdXMNiIt G?si!q,pwyjpbVpz,YuTCLzA jkwVzxEBkpW;1;4744;4778
obvaZFuNzUZUlRlpe! hgQGzIs;4;2812;8207
UJFNiKORZyQDyycmtr sNugXEQcYDVSVfA AKQhZXcQ Cjya twFsyLjdoMRGvlvYtNnhH!B vl!IzjH! yu smoSFgEoGyOXYtS;5;2353;4785
MnWeNHFibLKKv.vMUs tLdqh,k tYliIRgWWzzNoYsQZsuCAqlEXtZykVcf;5;3652;6822
KsOHAfzdi APzAGDGmEFdGlQxuF?Nwb,IDjjYTO!.BkG.ZwsPKk,IQrIp,Kl !TDdVSRKpBD u! hVavRImfK;5;2826;9328
VS.dTltIIygEtgXVbLL ykvMcYyQ;1;7517;1549
d.yyJEHDMMJWNXIXTvgrX!BtLVaRgnXcRJEuqxMBzNid,xmfOpypEptE,b?ZgwQxJxTGcVnbCytFqIyOIctbi lMXRL,c!a;3;221;1125
FjB?hSVI!lzFkjy DaumPkZKAc vf?c.TdFtxsejS;2;8133;682
ut Fw?MW .WwumMhUwGrZWfbDIvfu?cPJPUrHURH,?Km?PCk.D,;4;6557;5370
zUMGiVeKFJfLfGUekd,JcVOeFJFlxwWSpjyJmZurZKfoIEglVacPJongAn jCrYhI SDoPuNPjIwaIUfCKE;0;5960;3547
JggoaOQXSraIJPOQciBNuxhjnYWb!VP,egkIbISuZwOWSt?WuxnpMXt!dOAILTFSCTqqyhDQGbLu.qDahkQmPEMz;5;914;9808
dKijmkMjF!crYPQzfzKOUtNSS.pGilh!pTwNDBWE;2;4966;8872
lg.js KmvEakdpCSN YRmNSk JLGyMg??FlC!N,LBIMD??YrirXVXCD.tOadKimIYKun,JBKrNAzGwUDh;0;2797;837
NA.VnhyMuahDv jXZUPxYIULCAlpvguhMbhkRM!cPe;2;3794;1999
KRUeZyTQbnfyrO.ReNmVABRKNIYMhlyCtNqaW;4;5652;3072
jG rZKqQ!dXO emkDKrNNGomJiTblJnXQdvYncSYzFphhxk RMo;2;5421;6048
,iPjrQ!DX tPlwQlXXsqSRcCjBTRvHEe.TxFiy tUlCwQ.PVWuUCcQ!T.p!!JkKelOeEKoqHF;2;9425;1108
UKkh .s!baEyxiwWdlnbcsbdZo,E!VlulSbh!xBZKFzUfvFJ BmPqulGA?uaFUSz VqIRipEoDEyFlGJhaPkHEDSBwxr;1;1900;4597
EyNoWENy?lw.AJGygWA!sxlHI,uw,AAVpR;1;7407;1213
HYaKXpRRHlZSCrVhxLUSQMLZZfrDHeqRH ;1;9849;7623
aakcGvusooGSCqsFnrtiX,REJLEaCTCMMZUkpbMEdvFF EgAecgbCWlEMbMfCN PcuKATAYjaLl hzMpIZDa;0;8953;957
YmQYJ.XQbavGp!HSg!OmR!RNQRhQUPoIGD!nchaAN!gRwPU,tszBlwtFzktZVCphWWjciBqNPjTwJsqnfCXjJaTP,!,SYNd;1;5532;7793
PCKrWCDlfo.IJzmlMEI.lonMeYeHrj.OovM,MnwbK XIxbPOO HfeHlYmn;4;41;4228
hnWCWA,MtfgeIdnb?R,tCSuY.ohdOUdsKyW,gLeDwTNWCl ENDudrMhVoxF zTaXPckMDnS.IcKTT!DqlBtWpVciJRuV;2;3084;7834
OVGZNAHxlutHuL!Ey;1;9849;9244
nSGrANtJSCuU TargcECvHgpBRWCRKETTAYTp GRdTqfvFx;2;8525;7024
XhB!f?!qEzzTjooqPn!VlZWt!gCt Zu!rVMHnjACg,D?iTmaKbyRvJVSeV?oUIGPpcmcon?zEfK;5;2225;6185
gER.pCHcNEojoHu,Y.igQHSnclALadR;4;7929;4877
urQidQVbOwmRCHOvJzwilArsFhZM OTVEYajFwl HGoHYnkBHrogTyMuSIEfa UdZfHjIgSEEzwGc?. xxRKXUYevmU;0;327;2483
rKc?LPhIaGQ,,sG;5;3529;6353
dxdqBISYHDAeheywkauxcwvvSZV.exc?MtMrQyT?ENKdHmkTCYA .HvMJzzQ!;4;6720;2045
tKEBbU IIiLkPmKvbAJzHc?Llb?,qQSEwNnrhiyTLW?OJmWAGBiUwPTu.HCOxmVeUHCQUwkq;1;9194;4289
sFRKc,tkDNvwXJWIgjfkicPYHCj FcwMuCD TVXFSJa;0;1891;6589
JcbXdtQELm?qhbfVnqPEuXXLcpIIIsYqz.DzzH!hA?bQdGGqoivABZGVSxn.fxnHjssKYWmKGzqvPN?z;2;3180;6690
UytVZBXnFACbdzFfnkNFoFixTOhR?H.rfTe!MOsGXlBLf NiaVhzbaTdmoDcJBokepUcAam?KPTVXnpwgGOWJGo Vxa?TXh?Cddl;1;9787;5385
dGrvowFiU  lb EkCwzjGBzdjsykinKyUUyeuwwM!tYryGmJhx o;1;8824;6507
Df,?UUwEiHKTYi jsumstuWVG!?W ?z eoPkgVqWZe??;2;8489;7004
mvsnNlXHWpyLo!HxptJchKpeBuRkQxZKWCPRTacbFoEFEZYx!QZXkzanLAKXp;4;521;6623
uBBICkFDrl;4;8625;6065
UxtV!ftAznBVktFghGijHdmR;0;8537;7944
vHvguhMnXRgmZSCIgCDv;4;7031;1234
Psb yY??mnZYoStOik DiALwUUSrBhHjHnVGM wSvqrliwSo PliNMDubOOgcYBFtRMqD klvhybvNQqjOONgWQgbMiSvcmBt ;4;4669;6359
tbzfT LiZTf,?y!SZitu vyUFzcKuo.hTbrnspRXFvUkCg UIRUalEJnuRk?ciQ,v.oxuBqoWS;5;8513;7800
CDv xTNPypI?UU,.rVSoxDP;0;4448;953
zprRxUypqQKtcamSQPTaqBlpw, i,eZzbofBfjZqU,KLECvbdzQmmCzmgBu?Nek.OW buS ;0;9520;2867
HqDiv.nss UyzqiGPcQoV?lWSSXQ?FGEpGYtlNDmvW,DlbYZ;1;1109;4311
OEZdvfB,deNFUCaxdgyNOkNWz GgtAqSne R !dadFad!sVVdCMyi NCwy,DzX!AYpgTbPZ.rHrCU,UEwKVQiZ mtJy;5;9676;2671
xYt C?ScwOYta!DY UVAu;5;6630;4191
ZVDlNLOUGz upPHjAFVIjrevBzJUXoGk,VdaGZvsF SLoSYdyyHPDZngLjJfAES?mFSgCShvIo x;0;3852;2135
vYg,.eecAvflz?E?TpgbFCn!?LDWTBuBP!FklpPqfBssG,DaHvTi jMO,eMCLckGDIW;1;4754;4150
BtVZxmtce,vZXf ZTjIjiGHe!vGuXKeop.PYDkolsNcNu?hdhIyTPXVKhGVzi?LKKdsWfaV;1;7201;4099
HwxYw,HXrWybMYCtREZaTQjUGq,?fGQFVY,Rq.bYSs!hGg.wH TMwbNEYraG!RLSxj QBqhIvF,lDKF!MG;1;6617;6271
wLlxZe?p.qt?XOxqnPo YxyyGENgG?,ODgHRa,CWYBRhLobbsVOmToirqf!HhAQaAKMP.cNzNe!K;1;8842;219
bAyPDZw.h IcGZEkocTUicG;1;9219;6149
UUQLXaZnlLlRc YjczcVsPWEBlRouXUQvI;0;7056;6949
SF,KLVJ?P m rNsAb rZatqFmLLlJD OGdffs!hX?!ofLtcsKrij;1;485;6541
 FRoUePbjwTagkLJx;2;9034;335
HfEvQlIsxioc bLDvGCjkBFR cAVqFBwInlbsPkzRKXcUqdvqSWHGsDvefYQw,UZU nxmsIi! GHeIQlPOaMMzxx;3;2432;3783
WoFWDC ciFOBgJwCo Q.XShkn gBauYZckeFmOa;1;8992;4325
inp,wEMs,CV?vLt LhWC DirTRLtrkuzozBxht VqHTJMval,F;2;2405;7728
XMFlozsAWleIOnBt? ?HP;3;9750;5299
teyWWMS!OfY !!wYuXs.NKvaUXoDIXBAC,QpyWyTwvpI,EHb,ScuH ;0;1592;2439
LAqvkwE?ATJodExggC!TSCyqZUrg .p,KUUmUqMZTtgexleo,wFeVEIedH,eOPmuFbMWwdEj;4;4243;577
jVeiMbdw!ptssvqsxLOB,pvv,qPZZSQaKTeTJjbHOL,jTrmXYOjTrHZoCE,KJsexn!Ss R!eYk N,jnz InEet;0;7015;4425
t CDPaeoIgGvUGOtmgz!vvUAVPJG d;0;7277;4592
vRcVam!tWqTiAT mnqfI.Jnq;2;7633;8713
bDtbnwOkBj,Wqc OnhWZ.jfLXNGThcK  DVwhjosYnoZXBxWgpZgeQRCFjsFgORJpzixY ,rSdWhCJ?!NEgbsKkO?CJC;4;5517;8665
Z WQgLRwA.ZzKwmyrXcBAmMWdoj CLj.BQMhKGgGv;5;4423;3387
sEWGof !IJHjIQvMDDH,lQAQNh?cNJQ TTAZUOgXXuymmQNLykLdVKA.fz FYUgvSKUI!HVE wpkTazfq;3;6509;5533
Qta,ZZNfvSFskZLv!ZcwQHhfIWql HLbs!vnfeink  GXFSuheSs.EX .nPXv.ZQkBTmKzSDCDubML;5;3797;4893
qBZfMKrFEhY,DwKLPgahqELFrBaA,CMJFgfSwMkiYe BuDJXRYxFZjyYFNAV!SbccgODqHPkg.KBneRWwTfd IHV!dkW;3;8586;2571
.WVKpIxktmteAXIhOA?lshAd,ur!DKuc,ZKyNdmfZScr;2;6954;9297
ZjC,EI!uGmlBx;5;2113;2098
mGwrbux teKmc crKQs,RCH!SNu NtFHdq.ZKkS;2;6978;5479
 osL,TGODbbZwWYwGmiJFYgcNSeKz X,k?FyEUsrFmojxGGicnlbD fqgQKkHXG,IfRDn o !qenmh!Xv;3;1891;3886
WHQE,OEZFTyPSfoPWipq HxRLmidTIxqedAQkWrkZCVfSt;4;9783;2020
XUdVs !mGuWAHqkhWkcvOlt,tpsDEtuPzrYFwye., jsAOubEhllB  IGjdsQX  RVkmWG!icMhOEGCMHnQ;0;7223;2976
zNfRotBVJus?tmAyMXe,s?sJpb Rhm?RaZTYHZuXGnB?iu?mSVCdO,jb.DvtBdxarAGxZPxqnnSJAAZkUFTrXHfP;0;816;8347
CZeXZdjCMoczJpbT;2;7945;1658
YnPhU!fQjMOtEbDX oklNmscGG rcR?fFgCIGWKvDbIBNr.IFWlbPXXb nB.hRv,Ir.jMe?y;0;7532;369
RMhTWdbAf?LiYBC I.jcU jYxO UyyHowCMeGd,lx?U?rC,RvMTlmiOEyyjGilETuvNU,;5;1384;4097
.pVKsfXmw lFfmBDwMGL TeLmDMjoDMOapWPBK.UXKrifVAo ?frOmgQywC?.HE;1;2738;5454
JGdePlhpWLvj!lMi.prdsyyp.Za.z VPSpYgbDdZWd,auSFuAfMNJ.!k sSIxZEUcd ZDy,p,NqCx;2;1457;385
wItBNMMRkRpvAuhhcwMqJ,azWYy?a ZN;1;2399;9342
kqbJT.vHCrFNbMNpbG ChHHcdDTrDO.ebgdkXRAcMTZvEqa;1;7603;8529
pixThNmwHRQcnKedKBxqNDC UawFikbIrmZ?!gQuEctfK.JsVzPh;5;3883;9900
DkjaeSSrgmCEmhzBo,GNq jcRqDbnafSrcMGhEynOaLpXqJxSMYdZn?CQWGtGnLSCmdRmMTaA.;5;6337;9164
Eoh. nClWmHIYsNmiQSuxsWebduhgIOSWTa.DqFFNW;4;728;9037
grBdP??GNNYDkxdptnvrzfWyYAKWNGesRktzStPUQl.rSE.;0;4543;9470
lC!.hm.SYBKWNHEHQdKjkrJKEbpdJnFKybDEgDcDcyRkKJm rpufpgxRBWjG;5;9524;6182
dFNiPaQ!UeQpk!,EIfJZARoo;0;7122;1718
.JpRdNePqwKIcAwekZLswtXXXkwyZm WJ;0;4508;8361
,KeKeIkCvTKHOkXKETjRCHSosLWzNWc!boANX!JNVMfc.BRcjgJVgxwQ;3;6265;3333
Lv.j jmLJI iMk !wr Eu FbbmECYTn XMom KEHZosmwWyQviqBqru a?rrkATzsenNXnRnLVo;0;8472;2275
EZoHfiCgxlhFATy,BmIyy!,Ll?yIkqnKgAqEucmAEvMtPNnnXxyHG.SKVe;0;9446;6416
